
=================================================================
Variant : Fingerprint-only  |  5-shot
Dataset : tox21  |  K_shot=5
Tasks   : ['SR-HSE', 'SR-MMP', 'SR-p53']
Total episodes=3000
=================================================================
Task SR-HSE AUROC: 	0.7318 	AUPRC: 	0.2566
Task SR-MMP AUROC: 	0.7922 	AUPRC: 	0.4487
Task SR-p53 AUROC: 	0.8243 	AUPRC: 	0.3793
Task SR-HSE AUROC: 	0.6754 	AUPRC: 	0.159
Task SR-MMP AUROC: 	0.7764 	AUPRC: 	0.4515
Task SR-p53 AUROC: 	0.7664 	AUPRC: 	0.2937
Task SR-HSE AUROC: 	0.7476 	AUPRC: 	0.2406
Task SR-MMP AUROC: 	0.7599 	AUPRC: 	0.3386
Task SR-p53 AUROC: 	0.8195 	AUPRC: 	0.3324
Task SR-HSE AUROC: 	0.6771 	AUPRC: 	0.1556
Task SR-MMP AUROC: 	0.818 	AUPRC: 	0.5114
Task SR-p53 AUROC: 	0.8142 	AUPRC: 	0.3501
Task SR-HSE AUROC: 	0.7473 	AUPRC: 	0.2274
Task SR-MMP AUROC: 	0.8172 	AUPRC: 	0.4668
Task SR-p53 AUROC: 	0.7888 	AUPRC: 	0.3303
Task SR-HSE AUROC: 	0.5132 	AUPRC: 	0.0807
Task SR-MMP AUROC: 	0.8079 	AUPRC: 	0.4634
Task SR-p53 AUROC: 	0.7863 	AUPRC: 	0.2118
Task SR-HSE AUROC: 	0.7376 	AUPRC: 	0.1855
Task SR-MMP AUROC: 	0.7798 	AUPRC: 	0.4099
Task SR-p53 AUROC: 	0.7967 	AUPRC: 	0.2457
Task SR-HSE AUROC: 	0.696 	AUPRC: 	0.1095
Task SR-MMP AUROC: 	0.8116 	AUPRC: 	0.4826
Task SR-p53 AUROC: 	0.7986 	AUPRC: 	0.2739
Task SR-HSE AUROC: 	0.758 	AUPRC: 	0.2141
Task SR-MMP AUROC: 	0.7826 	AUPRC: 	0.4124
Task SR-p53 AUROC: 	0.8286 	AUPRC: 	0.2981
Task SR-HSE AUROC: 	0.7471 	AUPRC: 	0.2104
Task SR-MMP AUROC: 	0.6861 	AUPRC: 	0.3543
Task SR-p53 AUROC: 	0.8151 	AUPRC: 	0.307
Task SR-HSE AUROC: 	0.7075 	AUPRC: 	0.1398
Task SR-MMP AUROC: 	0.7849 	AUPRC: 	0.4451
Task SR-p53 AUROC: 	0.7596 	AUPRC: 	0.1679
Task SR-HSE AUROC: 	0.4941 	AUPRC: 	0.0817
Task SR-MMP AUROC: 	0.7723 	AUPRC: 	0.4312
Task SR-p53 AUROC: 	0.8195 	AUPRC: 	0.3086
Task SR-HSE AUROC: 	0.7 	AUPRC: 	0.1972
Task SR-MMP AUROC: 	0.7677 	AUPRC: 	0.4059
Task SR-p53 AUROC: 	0.805 	AUPRC: 	0.3156
Task SR-HSE AUROC: 	0.745 	AUPRC: 	0.1699
Task SR-MMP AUROC: 	0.7288 	AUPRC: 	0.3965
Task SR-p53 AUROC: 	0.7796 	AUPRC: 	0.2927
