============================================================
Tasks: ['SR-HSE', 'SR-MMP', 'SR-p53']
K_shot=5, Total episodes=3000
============================================================
Task SR-p53 AUROC: 	0.7485 	AUPRC: 	0.2919
Task SR-HSE AUROC: 	0.7619 	AUPRC: 	0.2399
Task SR-MMP AUROC: 	0.7628 	AUPRC: 	0.3713
Task SR-p53 AUROC: 	0.7826 	AUPRC: 	0.3186
Task SR-HSE AUROC: 	0.7552 	AUPRC: 	0.1807
Task SR-MMP AUROC: 	0.7581 	AUPRC: 	0.3843
Task SR-p53 AUROC: 	0.7853 	AUPRC: 	0.3287
Task SR-HSE AUROC: 	0.6689 	AUPRC: 	0.1114
Task SR-MMP AUROC: 	0.7232 	AUPRC: 	0.3809
Task SR-p53 AUROC: 	0.7433 	AUPRC: 	0.2145
Task SR-HSE AUROC: 	0.7571 	AUPRC: 	0.1772
Task SR-MMP AUROC: 	0.7648 	AUPRC: 	0.3913
Task SR-p53 AUROC: 	0.7699 	AUPRC: 	0.2471
Task SR-HSE AUROC: 	0.739 	AUPRC: 	0.2563
Task SR-MMP AUROC: 	0.7753 	AUPRC: 	0.4659
Task SR-p53 AUROC: 	0.7688 	AUPRC: 	0.2906
Task SR-HSE AUROC: 	0.5533 	AUPRC: 	0.1016
Task SR-MMP AUROC: 	0.7084 	AUPRC: 	0.3542
Task SR-p53 AUROC: 	0.8126 	AUPRC: 	0.3836
Task SR-HSE AUROC: 	0.636 	AUPRC: 	0.1592
Task SR-MMP AUROC: 	0.7385 	AUPRC: 	0.3976
Task SR-p53 AUROC: 	0.8038 	AUPRC: 	0.3671
Task SR-HSE AUROC: 	0.6887 	AUPRC: 	0.1448
Task SR-MMP AUROC: 	0.8126 	AUPRC: 	0.4807
Task SR-p53 AUROC: 	0.8087 	AUPRC: 	0.2534
Task SR-HSE AUROC: 	0.7489 	AUPRC: 	0.211
Task SR-MMP AUROC: 	0.7353 	AUPRC: 	0.3979
Task SR-p53 AUROC: 	0.8283 	AUPRC: 	0.3666
Task SR-HSE AUROC: 	0.6384 	AUPRC: 	0.1471
Task SR-MMP AUROC: 	0.7915 	AUPRC: 	0.4775
Task SR-p53 AUROC: 	0.6924 	AUPRC: 	0.2423
Task SR-HSE AUROC: 	0.7238 	AUPRC: 	0.1368
Task SR-MMP AUROC: 	0.7634 	AUPRC: 	0.4178
Task SR-p53 AUROC: 	0.6944 	AUPRC: 	0.199
Task SR-HSE AUROC: 	0.7258 	AUPRC: 	0.2192
Task SR-MMP AUROC: 	0.825 	AUPRC: 	0.5116
Task SR-p53 AUROC: 	0.7932 	AUPRC: 	0.3612
Task SR-HSE AUROC: 	0.3173 	AUPRC: 	0.0469
Task SR-MMP AUROC: 	0.8192 	AUPRC: 	0.4846
Task SR-p53 AUROC: 	0.797 	AUPRC: 	0.2922
Task SR-HSE AUROC: 	0.6354 	AUPRC: 	0.1719
Task SR-MMP AUROC: 	0.7427 	AUPRC: 	0.3775
Task SR-p53 AUROC: 	0.7745 	AUPRC: 	0.2564
Task SR-HSE AUROC: 	0.6186 	AUPRC: 	0.1116
Task SR-MMP AUROC: 	0.745 	AUPRC: 	0.3853
Task SR-p53 AUROC: 	0.8222 	AUPRC: 	0.361
Task SR-HSE AUROC: 	0.7618 	AUPRC: 	0.2026
Task SR-MMP AUROC: 	0.7475 	AUPRC: 	0.413
Task SR-p53 AUROC: 	0.8101 	AUPRC: 	0.2916

------------------------------------------------------------
Task                                          Acc       F1    AUROC    AUPRC  (mean ± std)
------------------------------------------------------------
SR-HSE                                   0.7781±0.1401  0.2247±0.0533  0.7040±0.0819  0.1818±0.0546
SR-MMP                                   0.7875±0.0991  0.4392±0.0697  0.7471±0.0797  0.4096±0.0728
SR-p53                                   0.8262±0.1063  0.2933±0.0619  0.7533±0.0773  0.2693±0.0769

OVERALL AVERAGE                          0.7973±0.0208  0.3191±0.0894  0.7348±0.0219  0.2869±0.0938
------------------------------------------------------------
