============================================================
Tasks: ['SR-HSE', 'SR-MMP', 'SR-p53']
K_shot=10, Total episodes=3000
============================================================
Task SR-HSE AUROC: 	0.7561 	AUPRC: 	0.2787
Task SR-MMP AUROC: 	0.7335 	AUPRC: 	0.3811
Task SR-p53 AUROC: 	0.8048 	AUPRC: 	0.3108
Task SR-HSE AUROC: 	0.7514 	AUPRC: 	0.2542
Task SR-MMP AUROC: 	0.81 	AUPRC: 	0.5082
Task SR-p53 AUROC: 	0.7395 	AUPRC: 	0.3329
Task SR-HSE AUROC: 	0.7632 	AUPRC: 	0.1933
Task SR-MMP AUROC: 	0.7967 	AUPRC: 	0.4802
Task SR-p53 AUROC: 	0.7831 	AUPRC: 	0.324
Task SR-HSE AUROC: 	0.7672 	AUPRC: 	0.2359
Task SR-MMP AUROC: 	0.733 	AUPRC: 	0.3815
Task SR-p53 AUROC: 	0.7718 	AUPRC: 	0.2036
Task SR-HSE AUROC: 	0.7708 	AUPRC: 	0.1964
Task SR-MMP AUROC: 	0.789 	AUPRC: 	0.4611
Task SR-p53 AUROC: 	0.747 	AUPRC: 	0.3371
Task SR-HSE AUROC: 	0.6377 	AUPRC: 	0.1717
Task SR-MMP AUROC: 	0.8103 	AUPRC: 	0.4797
Task SR-p53 AUROC: 	0.7875 	AUPRC: 	0.2504
Task SR-HSE AUROC: 	0.6984 	AUPRC: 	0.1975
Task SR-MMP AUROC: 	0.7555 	AUPRC: 	0.4312
Task SR-p53 AUROC: 	0.8267 	AUPRC: 	0.374
Task SR-HSE AUROC: 	0.7465 	AUPRC: 	0.2223
Task SR-MMP AUROC: 	0.7848 	AUPRC: 	0.4526
Task SR-p53 AUROC: 	0.8084 	AUPRC: 	0.2663
Task SR-HSE AUROC: 	0.7579 	AUPRC: 	0.2517
Task SR-MMP AUROC: 	0.7636 	AUPRC: 	0.4205
Task SR-p53 AUROC: 	0.7415 	AUPRC: 	0.2834
Task SR-HSE AUROC: 	0.6733 	AUPRC: 	0.2089
Task SR-MMP AUROC: 	0.7954 	AUPRC: 	0.4697
Task SR-p53 AUROC: 	0.7606 	AUPRC: 	0.2052
Task SR-HSE AUROC: 	0.776 	AUPRC: 	0.2723
Task SR-MMP AUROC: 	0.7402 	AUPRC: 	0.4455
Task SR-p53 AUROC: 	0.8163 	AUPRC: 	0.3899
Task SR-HSE AUROC: 	0.7657 	AUPRC: 	0.2264
Task SR-MMP AUROC: 	0.7926 	AUPRC: 	0.4798
Task SR-p53 AUROC: 	0.8005 	AUPRC: 	0.3068
Task SR-HSE AUROC: 	0.7112 	AUPRC: 	0.2481
Task SR-MMP AUROC: 	0.8164 	AUPRC: 	0.4887
Task SR-p53 AUROC: 	0.8077 	AUPRC: 	0.2291
Task SR-HSE AUROC: 	0.7089 	AUPRC: 	0.1286
Task SR-MMP AUROC: 	0.7779 	AUPRC: 	0.4786
Task SR-p53 AUROC: 	0.7635 	AUPRC: 	0.1861
Task SR-HSE AUROC: 	0.7737 	AUPRC: 	0.2671
Task SR-MMP AUROC: 	0.7638 	AUPRC: 	0.448
Task SR-p53 AUROC: 	0.8013 	AUPRC: 	0.3109
Task SR-HSE AUROC: 	0.7714 	AUPRC: 	0.226
Task SR-MMP AUROC: 	0.8005 	AUPRC: 	0.4798
Task SR-p53 AUROC: 	0.7943 	AUPRC: 	0.3343
Task SR-HSE AUROC: 	0.6902 	AUPRC: 	0.1235
Task SR-MMP AUROC: 	0.7928 	AUPRC: 	0.4759
Task SR-p53 AUROC: 	0.7866 	AUPRC: 	0.2342
Task SR-HSE AUROC: 	0.7816 	AUPRC: 	0.2941
Task SR-MMP AUROC: 	0.8155 	AUPRC: 	0.5223
Task SR-p53 AUROC: 	0.8035 	AUPRC: 	0.2613
Task SR-HSE AUROC: 	0.7651 	AUPRC: 	0.2091
Task SR-MMP AUROC: 	0.7701 	AUPRC: 	0.4422
Task SR-p53 AUROC: 	0.8179 	AUPRC: 	0.379
Task SR-HSE AUROC: 	0.7501 	AUPRC: 	0.2062
Task SR-MMP AUROC: 	0.7945 	AUPRC: 	0.4653
Task SR-p53 AUROC: 	0.8206 	AUPRC: 	0.3692
Task SR-HSE AUROC: 	0.7065 	AUPRC: 	0.1484
Task SR-MMP AUROC: 	0.8286 	AUPRC: 	0.514
Task SR-p53 AUROC: 	0.8274 	AUPRC: 	0.3375
Task SR-HSE AUROC: 	0.7224 	AUPRC: 	0.2054
Task SR-MMP AUROC: 	0.7846 	AUPRC: 	0.4523
Task SR-p53 AUROC: 	0.805 	AUPRC: 	0.3188
Task SR-HSE AUROC: 	0.763 	AUPRC: 	0.2608
Task SR-MMP AUROC: 	0.7671 	AUPRC: 	0.3844
Task SR-p53 AUROC: 	0.8248 	AUPRC: 	0.3811
Task SR-HSE AUROC: 	0.7164 	AUPRC: 	0.1512
Task SR-MMP AUROC: 	0.7916 	AUPRC: 	0.4536
Task SR-p53 AUROC: 	0.7874 	AUPRC: 	0.2285
Task SR-HSE AUROC: 	0.7373 	AUPRC: 	0.1827
Task SR-MMP AUROC: 	0.8074 	AUPRC: 	0.4803
Task SR-p53 AUROC: 	0.8113 	AUPRC: 	0.3011
Task SR-HSE AUROC: 	0.6795 	AUPRC: 	0.14
Task SR-MMP AUROC: 	0.8073 	AUPRC: 	0.5096
Task SR-p53 AUROC: 	0.8261 	AUPRC: 	0.3711
Task SR-HSE AUROC: 	0.7257 	AUPRC: 	0.1379
Task SR-MMP AUROC: 	0.79 	AUPRC: 	0.4649
Task SR-p53 AUROC: 	0.7871 	AUPRC: 	0.3367
Task SR-HSE AUROC: 	0.7534 	AUPRC: 	0.2416
Task SR-MMP AUROC: 	0.7801 	AUPRC: 	0.4385
Task SR-p53 AUROC: 	0.797 	AUPRC: 	0.2617
Task SR-HSE AUROC: 	0.6989 	AUPRC: 	0.1268
Task SR-MMP AUROC: 	0.8118 	AUPRC: 	0.4805
Task SR-p53 AUROC: 	0.7504 	AUPRC: 	0.3046
Task SR-HSE AUROC: 	0.7729 	AUPRC: 	0.2641
Task SR-MMP AUROC: 	0.5221 	AUPRC: 	0.2289
Task SR-p53 AUROC: 	0.7969 	AUPRC: 	0.3712

------------------------------------------------------------
Task                                          Acc       F1    AUROC    AUPRC  (mean ± std)
------------------------------------------------------------
SR-HSE                                   0.8327±0.0604  0.2601±0.0364  0.7388±0.0436  0.2241±0.0487
SR-MMP                                   0.8169±0.0407  0.4815±0.0491  0.7783±0.0454  0.4548±0.0543
SR-p53                                   0.8615±0.0458  0.3295±0.0385  0.7940±0.0367  0.3141±0.0589

OVERALL AVERAGE                          0.8371±0.0185  0.3570±0.0925  0.7704±0.0232  0.3310±0.0949
------------------------------------------------------------
