
=================================================================
Variant : GINEConv + FP  |  10-shot
Dataset : tox21  |  K_shot=10
Tasks   : ['SR-HSE', 'SR-MMP', 'SR-p53']
Total episodes=3000
=================================================================
Task SR-HSE AUROC: 	0.7258 	AUPRC: 	0.2395
Task SR-MMP AUROC: 	0.795 	AUPRC: 	0.4404
Task SR-p53 AUROC: 	0.8104 	AUPRC: 	0.2969
Task SR-HSE AUROC: 	0.746 	AUPRC: 	0.2007
Task SR-MMP AUROC: 	0.8179 	AUPRC: 	0.5143
Task SR-p53 AUROC: 	0.793 	AUPRC: 	0.3494
Task SR-HSE AUROC: 	0.7686 	AUPRC: 	0.2139
Task SR-MMP AUROC: 	0.8124 	AUPRC: 	0.4945
Task SR-p53 AUROC: 	0.7863 	AUPRC: 	0.3591
Task SR-HSE AUROC: 	0.7628 	AUPRC: 	0.24
Task SR-MMP AUROC: 	0.7287 	AUPRC: 	0.382
Task SR-p53 AUROC: 	0.7551 	AUPRC: 	0.1971
Task SR-HSE AUROC: 	0.7567 	AUPRC: 	0.1655
Task SR-MMP AUROC: 	0.7172 	AUPRC: 	0.3836
Task SR-p53 AUROC: 	0.8139 	AUPRC: 	0.3937
Task SR-HSE AUROC: 	0.6035 	AUPRC: 	0.1151
Task SR-MMP AUROC: 	0.8143 	AUPRC: 	0.4801
Task SR-p53 AUROC: 	0.8065 	AUPRC: 	0.3024
Task SR-HSE AUROC: 	0.7144 	AUPRC: 	0.1729
Task SR-MMP AUROC: 	0.775 	AUPRC: 	0.4412
Task SR-p53 AUROC: 	0.8164 	AUPRC: 	0.3808
Task SR-HSE AUROC: 	0.7543 	AUPRC: 	0.2131
Task SR-MMP AUROC: 	0.8136 	AUPRC: 	0.503
Task SR-p53 AUROC: 	0.7976 	AUPRC: 	0.3491
Task SR-HSE AUROC: 	0.764 	AUPRC: 	0.2505
Task SR-MMP AUROC: 	0.7518 	AUPRC: 	0.3838
Task SR-p53 AUROC: 	0.8082 	AUPRC: 	0.3627
Task SR-HSE AUROC: 	0.6088 	AUPRC: 	0.1918
Task SR-MMP AUROC: 	0.7841 	AUPRC: 	0.439
Task SR-p53 AUROC: 	0.8029 	AUPRC: 	0.292
Task SR-HSE AUROC: 	0.7722 	AUPRC: 	0.2544
Task SR-MMP AUROC: 	0.8038 	AUPRC: 	0.4945
Task SR-p53 AUROC: 	0.814 	AUPRC: 	0.3908
Task SR-HSE AUROC: 	0.7567 	AUPRC: 	0.2082
Task SR-MMP AUROC: 	0.8159 	AUPRC: 	0.5048
Task SR-p53 AUROC: 	0.8043 	AUPRC: 	0.3725
Task SR-HSE AUROC: 	0.6987 	AUPRC: 	0.2219
Task SR-MMP AUROC: 	0.7876 	AUPRC: 	0.439
Task SR-p53 AUROC: 	0.7802 	AUPRC: 	0.2175
Task SR-HSE AUROC: 	0.6994 	AUPRC: 	0.1381
Task SR-MMP AUROC: 	0.7536 	AUPRC: 	0.4261
Task SR-p53 AUROC: 	0.7926 	AUPRC: 	0.306
Task SR-HSE AUROC: 	0.7792 	AUPRC: 	0.266
Task SR-MMP AUROC: 	0.7745 	AUPRC: 	0.415
Task SR-p53 AUROC: 	0.8049 	AUPRC: 	0.3136
Task SR-HSE AUROC: 	0.7737 	AUPRC: 	0.2697
Task SR-MMP AUROC: 	0.7818 	AUPRC: 	0.4213
Task SR-p53 AUROC: 	0.791 	AUPRC: 	0.359
Task SR-HSE AUROC: 	0.6634 	AUPRC: 	0.111
Task SR-MMP AUROC: 	0.8071 	AUPRC: 	0.4763
Task SR-p53 AUROC: 	0.7994 	AUPRC: 	0.2639
Task SR-HSE AUROC: 	0.7702 	AUPRC: 	0.2356
Task SR-MMP AUROC: 	0.803 	AUPRC: 	0.4524
Task SR-p53 AUROC: 	0.7859 	AUPRC: 	0.3757
Task SR-HSE AUROC: 	0.7673 	AUPRC: 	0.2165
Task SR-MMP AUROC: 	0.8007 	AUPRC: 	0.4783
Task SR-p53 AUROC: 	0.7729 	AUPRC: 	0.2928
Task SR-HSE AUROC: 	0.7645 	AUPRC: 	0.2416
Task SR-MMP AUROC: 	0.7796 	AUPRC: 	0.4544
Task SR-p53 AUROC: 	0.8001 	AUPRC: 	0.3504
Task SR-HSE AUROC: 	0.6922 	AUPRC: 	0.1699
Task SR-MMP AUROC: 	0.7922 	AUPRC: 	0.4567
Task SR-p53 AUROC: 	0.8191 	AUPRC: 	0.3503
Task SR-HSE AUROC: 	0.6506 	AUPRC: 	0.2185
Task SR-MMP AUROC: 	0.7851 	AUPRC: 	0.4486
Task SR-p53 AUROC: 	0.8037 	AUPRC: 	0.3298
Task SR-HSE AUROC: 	0.7702 	AUPRC: 	0.2554
Task SR-MMP AUROC: 	0.8046 	AUPRC: 	0.4705
Task SR-p53 AUROC: 	0.807 	AUPRC: 	0.3477
Task SR-HSE AUROC: 	0.7485 	AUPRC: 	0.1659
Task SR-MMP AUROC: 	0.8065 	AUPRC: 	0.4825
Task SR-p53 AUROC: 	0.7832 	AUPRC: 	0.3306
Task SR-HSE AUROC: 	0.7735 	AUPRC: 	0.2125
Task SR-MMP AUROC: 	0.8213 	AUPRC: 	0.5059
Task SR-p53 AUROC: 	0.8078 	AUPRC: 	0.347
Task SR-HSE AUROC: 	0.705 	AUPRC: 	0.1827
Task SR-MMP AUROC: 	0.8117 	AUPRC: 	0.4999
Task SR-p53 AUROC: 	0.8093 	AUPRC: 	0.3806
Task SR-HSE AUROC: 	0.7524 	AUPRC: 	0.1627
Task SR-MMP AUROC: 	0.8098 	AUPRC: 	0.4881
Task SR-p53 AUROC: 	0.7941 	AUPRC: 	0.3234
Task SR-HSE AUROC: 	0.7731 	AUPRC: 	0.2569
Task SR-MMP AUROC: 	0.8005 	AUPRC: 	0.4595
Task SR-p53 AUROC: 	0.8114 	AUPRC: 	0.3025
Task SR-HSE AUROC: 	0.7411 	AUPRC: 	0.175
Task SR-MMP AUROC: 	0.8005 	AUPRC: 	0.4848
Task SR-p53 AUROC: 	0.8056 	AUPRC: 	0.3416
Task SR-HSE AUROC: 	0.7423 	AUPRC: 	0.2409
Task SR-MMP AUROC: 	0.4413 	AUPRC: 	0.1954
Task SR-p53 AUROC: 	0.7877 	AUPRC: 	0.3428

-----------------------------------------------------------------
Task                                            Acc         F1      AUROC      AUPRC  (mean±std)
-----------------------------------------------------------------
SR-HSE                                   0.8006±0.0625  0.2453±0.0305  0.7429±0.0431  0.2163±0.0438
SR-MMP                                   0.7972±0.0472  0.4828±0.0436  0.7846±0.0453  0.4529±0.0512
SR-p53                                   0.8358±0.0504  0.3165±0.0376  0.7954±0.0309  0.3288±0.0515

OVERALL AVERAGE                          0.8112              0.3482              0.7743              0.3327
-----------------------------------------------------------------
