
=================================================================
Variant : GINEConv-only  |  10-shot
Dataset : tox21  |  K_shot=10
Tasks   : ['SR-HSE', 'SR-MMP', 'SR-p53']
Total episodes=3000
=================================================================
Task SR-HSE AUROC: 	0.7595 	AUPRC: 	0.2362
Task SR-MMP AUROC: 	0.823 	AUPRC: 	0.4812
Task SR-p53 AUROC: 	0.8345 	AUPRC: 	0.2828
Task SR-HSE AUROC: 	0.7469 	AUPRC: 	0.2128
Task SR-MMP AUROC: 	0.8501 	AUPRC: 	0.5501
Task SR-p53 AUROC: 	0.7976 	AUPRC: 	0.2932
Task SR-HSE AUROC: 	0.7442 	AUPRC: 	0.2076
Task SR-MMP AUROC: 	0.8539 	AUPRC: 	0.5534
Task SR-p53 AUROC: 	0.848 	AUPRC: 	0.3636
Task SR-HSE AUROC: 	0.7729 	AUPRC: 	0.232
Task SR-MMP AUROC: 	0.8168 	AUPRC: 	0.4336
Task SR-p53 AUROC: 	0.8279 	AUPRC: 	0.3041
Task SR-HSE AUROC: 	0.7036 	AUPRC: 	0.1251
Task SR-MMP AUROC: 	0.8 	AUPRC: 	0.463
Task SR-p53 AUROC: 	0.8235 	AUPRC: 	0.3441
Task SR-HSE AUROC: 	0.767 	AUPRC: 	0.2079
Task SR-MMP AUROC: 	0.8527 	AUPRC: 	0.5488
Task SR-p53 AUROC: 	0.8364 	AUPRC: 	0.3166
Task SR-HSE AUROC: 	0.5958 	AUPRC: 	0.083
Task SR-MMP AUROC: 	0.8318 	AUPRC: 	0.5082
Task SR-p53 AUROC: 	0.842 	AUPRC: 	0.3126
Task SR-HSE AUROC: 	0.7096 	AUPRC: 	0.1769
Task SR-MMP AUROC: 	0.8289 	AUPRC: 	0.5086
Task SR-p53 AUROC: 	0.8389 	AUPRC: 	0.2973
Task SR-HSE AUROC: 	0.7224 	AUPRC: 	0.1814
Task SR-MMP AUROC: 	0.8529 	AUPRC: 	0.5641
Task SR-p53 AUROC: 	0.8235 	AUPRC: 	0.2874
Task SR-HSE AUROC: 	0.7614 	AUPRC: 	0.1735
Task SR-MMP AUROC: 	0.8019 	AUPRC: 	0.4682
Task SR-p53 AUROC: 	0.83 	AUPRC: 	0.3192
Task SR-HSE AUROC: 	0.7683 	AUPRC: 	0.2351
Task SR-MMP AUROC: 	0.8536 	AUPRC: 	0.5562
Task SR-p53 AUROC: 	0.826 	AUPRC: 	0.286
Task SR-HSE AUROC: 	0.7272 	AUPRC: 	0.1577
Task SR-MMP AUROC: 	0.8247 	AUPRC: 	0.5037
Task SR-p53 AUROC: 	0.8264 	AUPRC: 	0.3477
Task SR-HSE AUROC: 	0.753 	AUPRC: 	0.2382
Task SR-MMP AUROC: 	0.7861 	AUPRC: 	0.4075
Task SR-p53 AUROC: 	0.7463 	AUPRC: 	0.1796
Task SR-HSE AUROC: 	0.6928 	AUPRC: 	0.1166
Task SR-MMP AUROC: 	0.8528 	AUPRC: 	0.5579
Task SR-p53 AUROC: 	0.8301 	AUPRC: 	0.3234
Task SR-HSE AUROC: 	0.7534 	AUPRC: 	0.2358
Task SR-MMP AUROC: 	0.8344 	AUPRC: 	0.531
Task SR-p53 AUROC: 	0.8224 	AUPRC: 	0.3009
