
=================================================================
Variant : CNN + FP  |  10-shot
Dataset : tox21  |  K_shot=10
Tasks   : ['SR-HSE', 'SR-MMP', 'SR-p53']
Total episodes=3000
=================================================================
Task SR-HSE AUROC: 	0.7408 	AUPRC: 	0.2577
Task SR-MMP AUROC: 	0.7858 	AUPRC: 	0.4132
Task SR-p53 AUROC: 	0.7948 	AUPRC: 	0.2746
Task SR-HSE AUROC: 	0.752 	AUPRC: 	0.2267
Task SR-MMP AUROC: 	0.8186 	AUPRC: 	0.5174
Task SR-p53 AUROC: 	0.7699 	AUPRC: 	0.3187
Task SR-HSE AUROC: 	0.7636 	AUPRC: 	0.2037
Task SR-MMP AUROC: 	0.8129 	AUPRC: 	0.5129
Task SR-p53 AUROC: 	0.7931 	AUPRC: 	0.36
Task SR-HSE AUROC: 	0.7611 	AUPRC: 	0.2384
Task SR-MMP AUROC: 	0.7654 	AUPRC: 	0.4346
Task SR-p53 AUROC: 	0.752 	AUPRC: 	0.1924
Task SR-HSE AUROC: 	0.7541 	AUPRC: 	0.1536
Task SR-MMP AUROC: 	0.7225 	AUPRC: 	0.3705
Task SR-p53 AUROC: 	0.8122 	AUPRC: 	0.3576
Task SR-HSE AUROC: 	0.573 	AUPRC: 	0.1335
Task SR-MMP AUROC: 	0.8189 	AUPRC: 	0.4816
Task SR-p53 AUROC: 	0.8208 	AUPRC: 	0.3025
Task SR-HSE AUROC: 	0.7139 	AUPRC: 	0.2199
Task SR-MMP AUROC: 	0.7676 	AUPRC: 	0.4164
Task SR-p53 AUROC: 	0.8109 	AUPRC: 	0.3826
Task SR-HSE AUROC: 	0.7547 	AUPRC: 	0.2011
Task SR-MMP AUROC: 	0.811 	AUPRC: 	0.4944
Task SR-p53 AUROC: 	0.8247 	AUPRC: 	0.3875
Task SR-HSE AUROC: 	0.7519 	AUPRC: 	0.2324
Task SR-MMP AUROC: 	0.777 	AUPRC: 	0.4217
Task SR-p53 AUROC: 	0.8152 	AUPRC: 	0.3452
Task SR-HSE AUROC: 	0.711 	AUPRC: 	0.2317
Task SR-MMP AUROC: 	0.7971 	AUPRC: 	0.4587
Task SR-p53 AUROC: 	0.7807 	AUPRC: 	0.2178
Task SR-HSE AUROC: 	0.7673 	AUPRC: 	0.2529
Task SR-MMP AUROC: 	0.79 	AUPRC: 	0.4723
Task SR-p53 AUROC: 	0.7928 	AUPRC: 	0.3696
Task SR-HSE AUROC: 	0.751 	AUPRC: 	0.2321
Task SR-MMP AUROC: 	0.7926 	AUPRC: 	0.4674
Task SR-p53 AUROC: 	0.809 	AUPRC: 	0.3931
Task SR-HSE AUROC: 	0.6789 	AUPRC: 	0.207
Task SR-MMP AUROC: 	0.8099 	AUPRC: 	0.4722
Task SR-p53 AUROC: 	0.8027 	AUPRC: 	0.2256
Task SR-HSE AUROC: 	0.6806 	AUPRC: 	0.1028
Task SR-MMP AUROC: 	0.7618 	AUPRC: 	0.4382
Task SR-p53 AUROC: 	0.7721 	AUPRC: 	0.2033
Task SR-HSE AUROC: 	0.7703 	AUPRC: 	0.2595
Task SR-MMP AUROC: 	0.7825 	AUPRC: 	0.4632
Task SR-p53 AUROC: 	0.8059 	AUPRC: 	0.339
Task SR-HSE AUROC: 	0.7727 	AUPRC: 	0.2532
Task SR-MMP AUROC: 	0.7937 	AUPRC: 	0.4673
Task SR-p53 AUROC: 	0.7487 	AUPRC: 	0.3082
Task SR-HSE AUROC: 	0.6516 	AUPRC: 	0.1125
Task SR-MMP AUROC: 	0.8162 	AUPRC: 	0.5037
Task SR-p53 AUROC: 	0.8071 	AUPRC: 	0.2401
Task SR-HSE AUROC: 	0.771 	AUPRC: 	0.2407
Task SR-MMP AUROC: 	0.8159 	AUPRC: 	0.5243
Task SR-p53 AUROC: 	0.7408 	AUPRC: 	0.3399
Task SR-HSE AUROC: 	0.7726 	AUPRC: 	0.2248
Task SR-MMP AUROC: 	0.7928 	AUPRC: 	0.4721
Task SR-p53 AUROC: 	0.8048 	AUPRC: 	0.363
Task SR-HSE AUROC: 	0.7544 	AUPRC: 	0.2334
Task SR-MMP AUROC: 	0.8178 	AUPRC: 	0.5051
Task SR-p53 AUROC: 	0.8093 	AUPRC: 	0.3526
Task SR-HSE AUROC: 	0.6664 	AUPRC: 	0.1164
Task SR-MMP AUROC: 	0.8133 	AUPRC: 	0.4985
Task SR-p53 AUROC: 	0.818 	AUPRC: 	0.3756
Task SR-HSE AUROC: 	0.7281 	AUPRC: 	0.2134
Task SR-MMP AUROC: 	0.8157 	AUPRC: 	0.5034
Task SR-p53 AUROC: 	0.7976 	AUPRC: 	0.2865
Task SR-HSE AUROC: 	0.768 	AUPRC: 	0.2734
Task SR-MMP AUROC: 	0.7755 	AUPRC: 	0.431
Task SR-p53 AUROC: 	0.8093 	AUPRC: 	0.3376
Task SR-HSE AUROC: 	0.7503 	AUPRC: 	0.1627
Task SR-MMP AUROC: 	0.7967 	AUPRC: 	0.4447
Task SR-p53 AUROC: 	0.8005 	AUPRC: 	0.3248
Task SR-HSE AUROC: 	0.7371 	AUPRC: 	0.1469
Task SR-MMP AUROC: 	0.8193 	AUPRC: 	0.5131
Task SR-p53 AUROC: 	0.8117 	AUPRC: 	0.2822
Task SR-HSE AUROC: 	0.643 	AUPRC: 	0.1921
Task SR-MMP AUROC: 	0.7828 	AUPRC: 	0.4569
Task SR-p53 AUROC: 	0.8039 	AUPRC: 	0.3695
Task SR-HSE AUROC: 	0.7209 	AUPRC: 	0.1237
Task SR-MMP AUROC: 	0.8141 	AUPRC: 	0.506
Task SR-p53 AUROC: 	0.7353 	AUPRC: 	0.2504
Task SR-HSE AUROC: 	0.7062 	AUPRC: 	0.2397
Task SR-MMP AUROC: 	0.7913 	AUPRC: 	0.4486
Task SR-p53 AUROC: 	0.7965 	AUPRC: 	0.2861
Task SR-HSE AUROC: 	0.7163 	AUPRC: 	0.1935
Task SR-MMP AUROC: 	0.8252 	AUPRC: 	0.5299
Task SR-p53 AUROC: 	0.8066 	AUPRC: 	0.3453
Task SR-HSE AUROC: 	0.7637 	AUPRC: 	0.2816
Task SR-MMP AUROC: 	0.73 	AUPRC: 	0.3846
Task SR-p53 AUROC: 	0.8048 	AUPRC: 	0.3823

-----------------------------------------------------------------
Task                                            Acc         F1      AUROC      AUPRC  (mean±std)
-----------------------------------------------------------------
SR-HSE                                   0.7912±0.0755  0.2384±0.0344  0.7381±0.0451  0.2122±0.0464
SR-MMP                                   0.7944±0.0411  0.4822±0.0423  0.7846±0.0429  0.4551±0.0505
SR-p53                                   0.8322±0.0549  0.3135±0.0392  0.7936±0.0343  0.3251±0.0594

OVERALL AVERAGE                          0.8059              0.3447              0.7721              0.3308
-----------------------------------------------------------------
