
=================================================================
Variant : CNN-only  |  10-shot
Dataset : tox21  |  K_shot=10
Tasks   : ['SR-HSE', 'SR-MMP', 'SR-p53']
Total episodes=3000
=================================================================
Task SR-HSE AUROC: 	0.7853 	AUPRC: 	0.3078
Task SR-MMP AUROC: 	0.7691 	AUPRC: 	0.3757
Task SR-p53 AUROC: 	0.8327 	AUPRC: 	0.3284
Task SR-HSE AUROC: 	0.765 	AUPRC: 	0.2329
Task SR-MMP AUROC: 	0.8224 	AUPRC: 	0.5187
Task SR-p53 AUROC: 	0.7988 	AUPRC: 	0.3668
Task SR-HSE AUROC: 	0.7587 	AUPRC: 	0.1854
Task SR-MMP AUROC: 	0.7877 	AUPRC: 	0.4526
Task SR-p53 AUROC: 	0.7909 	AUPRC: 	0.3597
Task SR-HSE AUROC: 	0.7808 	AUPRC: 	0.2587
Task SR-MMP AUROC: 	0.8139 	AUPRC: 	0.4848
Task SR-p53 AUROC: 	0.7957 	AUPRC: 	0.206
Task SR-HSE AUROC: 	0.7652 	AUPRC: 	0.1869
Task SR-MMP AUROC: 	0.7226 	AUPRC: 	0.3965
Task SR-p53 AUROC: 	0.8347 	AUPRC: 	0.4063
Task SR-HSE AUROC: 	0.746 	AUPRC: 	0.1899
Task SR-MMP AUROC: 	0.8193 	AUPRC: 	0.5006
Task SR-p53 AUROC: 	0.7967 	AUPRC: 	0.2222
Task SR-HSE AUROC: 	0.693 	AUPRC: 	0.1758
Task SR-MMP AUROC: 	0.8009 	AUPRC: 	0.4729
Task SR-p53 AUROC: 	0.8158 	AUPRC: 	0.3333
Task SR-HSE AUROC: 	0.7478 	AUPRC: 	0.2081
Task SR-MMP AUROC: 	0.8006 	AUPRC: 	0.4592
Task SR-p53 AUROC: 	0.8413 	AUPRC: 	0.3591
Task SR-HSE AUROC: 	0.768 	AUPRC: 	0.2551
Task SR-MMP AUROC: 	0.708 	AUPRC: 	0.3387
Task SR-p53 AUROC: 	0.7317 	AUPRC: 	0.1891
Task SR-HSE AUROC: 	0.7776 	AUPRC: 	0.2549
Task SR-MMP AUROC: 	0.7944 	AUPRC: 	0.4104
Task SR-p53 AUROC: 	0.8158 	AUPRC: 	0.2998
Task SR-HSE AUROC: 	0.7833 	AUPRC: 	0.2889
Task SR-MMP AUROC: 	0.8217 	AUPRC: 	0.5117
Task SR-p53 AUROC: 	0.8081 	AUPRC: 	0.3975
Task SR-HSE AUROC: 	0.7324 	AUPRC: 	0.1728
Task SR-MMP AUROC: 	0.8253 	AUPRC: 	0.5164
Task SR-p53 AUROC: 	0.8036 	AUPRC: 	0.3506
Task SR-HSE AUROC: 	0.7362 	AUPRC: 	0.1973
Task SR-MMP AUROC: 	0.8227 	AUPRC: 	0.5128
Task SR-p53 AUROC: 	0.8013 	AUPRC: 	0.2047
Task SR-HSE AUROC: 	0.6985 	AUPRC: 	0.1042
Task SR-MMP AUROC: 	0.8145 	AUPRC: 	0.4866
Task SR-p53 AUROC: 	0.8048 	AUPRC: 	0.2348
Task SR-HSE AUROC: 	0.7446 	AUPRC: 	0.2125
Task SR-MMP AUROC: 	0.8294 	AUPRC: 	0.5303
Task SR-p53 AUROC: 	0.8379 	AUPRC: 	0.4036
Task SR-HSE AUROC: 	0.7707 	AUPRC: 	0.2583
Task SR-MMP AUROC: 	0.7994 	AUPRC: 	0.4561
Task SR-p53 AUROC: 	0.8133 	AUPRC: 	0.3595
