
=================================================================
Variant : GINEConv + CNN  |  10-shot
Dataset : tox21  |  K_shot=10
Tasks   : ['SR-HSE', 'SR-MMP', 'SR-p53']
Total episodes=3000
=================================================================
Task SR-HSE AUROC: 	0.7689 	AUPRC: 	0.2292
Task SR-MMP AUROC: 	0.7778 	AUPRC: 	0.3841
Task SR-p53 AUROC: 	0.8279 	AUPRC: 	0.2877
Task SR-HSE AUROC: 	0.7663 	AUPRC: 	0.2176
Task SR-MMP AUROC: 	0.8154 	AUPRC: 	0.5233
Task SR-p53 AUROC: 	0.8094 	AUPRC: 	0.3209
Task SR-HSE AUROC: 	0.77 	AUPRC: 	0.2217
Task SR-MMP AUROC: 	0.8028 	AUPRC: 	0.4794
Task SR-p53 AUROC: 	0.8209 	AUPRC: 	0.3565
Task SR-HSE AUROC: 	0.7707 	AUPRC: 	0.2117
Task SR-MMP AUROC: 	0.8099 	AUPRC: 	0.4745
Task SR-p53 AUROC: 	0.8197 	AUPRC: 	0.2973
Task SR-HSE AUROC: 	0.7707 	AUPRC: 	0.2182
Task SR-MMP AUROC: 	0.7762 	AUPRC: 	0.3752
Task SR-p53 AUROC: 	0.8235 	AUPRC: 	0.3893
Task SR-HSE AUROC: 	0.735 	AUPRC: 	0.1401
Task SR-MMP AUROC: 	0.8133 	AUPRC: 	0.498
Task SR-p53 AUROC: 	0.8265 	AUPRC: 	0.3405
Task SR-HSE AUROC: 	0.7511 	AUPRC: 	0.1969
Task SR-MMP AUROC: 	0.7981 	AUPRC: 	0.4829
Task SR-p53 AUROC: 	0.8286 	AUPRC: 	0.3434
Task SR-HSE AUROC: 	0.7578 	AUPRC: 	0.1967
Task SR-MMP AUROC: 	0.7957 	AUPRC: 	0.4714
Task SR-p53 AUROC: 	0.8273 	AUPRC: 	0.3615
Task SR-HSE AUROC: 	0.7478 	AUPRC: 	0.1897
Task SR-MMP AUROC: 	0.763 	AUPRC: 	0.3884
Task SR-p53 AUROC: 	0.8269 	AUPRC: 	0.3341
Task SR-HSE AUROC: 	0.754 	AUPRC: 	0.2108
Task SR-MMP AUROC: 	0.8101 	AUPRC: 	0.4647
Task SR-p53 AUROC: 	0.8262 	AUPRC: 	0.3092
Task SR-HSE AUROC: 	0.7717 	AUPRC: 	0.2269
Task SR-MMP AUROC: 	0.8133 	AUPRC: 	0.5201
Task SR-p53 AUROC: 	0.8276 	AUPRC: 	0.3548
Task SR-HSE AUROC: 	0.7761 	AUPRC: 	0.236
Task SR-MMP AUROC: 	0.8148 	AUPRC: 	0.5299
Task SR-p53 AUROC: 	0.8273 	AUPRC: 	0.3722
Task SR-HSE AUROC: 	0.7012 	AUPRC: 	0.1213
Task SR-MMP AUROC: 	0.8022 	AUPRC: 	0.4597
Task SR-p53 AUROC: 	0.8092 	AUPRC: 	0.2449
Task SR-HSE AUROC: 	0.7057 	AUPRC: 	0.1298
Task SR-MMP AUROC: 	0.8073 	AUPRC: 	0.5125
Task SR-p53 AUROC: 	0.8077 	AUPRC: 	0.2826
Task SR-HSE AUROC: 	0.7605 	AUPRC: 	0.2126
Task SR-MMP AUROC: 	0.8139 	AUPRC: 	0.5238
Task SR-p53 AUROC: 	0.8267 	AUPRC: 	0.3348
Task SR-HSE AUROC: 	0.7732 	AUPRC: 	0.2202
Task SR-MMP AUROC: 	0.8022 	AUPRC: 	0.4765
Task SR-p53 AUROC: 	0.8342 	AUPRC: 	0.3486
Task SR-HSE AUROC: 	0.7235 	AUPRC: 	0.138
Task SR-MMP AUROC: 	0.8231 	AUPRC: 	0.5204
Task SR-p53 AUROC: 	0.8029 	AUPRC: 	0.2316
Task SR-HSE AUROC: 	0.768 	AUPRC: 	0.2274
Task SR-MMP AUROC: 	0.8225 	AUPRC: 	0.5275
Task SR-p53 AUROC: 	0.8292 	AUPRC: 	0.3848
Task SR-HSE AUROC: 	0.7722 	AUPRC: 	0.234
Task SR-MMP AUROC: 	0.8069 	AUPRC: 	0.5029
Task SR-p53 AUROC: 	0.8256 	AUPRC: 	0.3587
Task SR-HSE AUROC: 	0.7524 	AUPRC: 	0.161
Task SR-MMP AUROC: 	0.7313 	AUPRC: 	0.4035
Task SR-p53 AUROC: 	0.8314 	AUPRC: 	0.3898
Task SR-HSE AUROC: 	0.7683 	AUPRC: 	0.2009
Task SR-MMP AUROC: 	0.819 	AUPRC: 	0.5254
Task SR-p53 AUROC: 	0.8281 	AUPRC: 	0.3586
Task SR-HSE AUROC: 	0.7736 	AUPRC: 	0.2368
Task SR-MMP AUROC: 	0.8084 	AUPRC: 	0.4828
Task SR-p53 AUROC: 	0.8344 	AUPRC: 	0.3818
Task SR-HSE AUROC: 	0.7578 	AUPRC: 	0.2115
Task SR-MMP AUROC: 	0.8138 	AUPRC: 	0.5077
Task SR-p53 AUROC: 	0.8267 	AUPRC: 	0.3586
Task SR-HSE AUROC: 	0.7698 	AUPRC: 	0.2075
Task SR-MMP AUROC: 	0.8173 	AUPRC: 	0.5056
Task SR-p53 AUROC: 	0.8207 	AUPRC: 	0.3578
Task SR-HSE AUROC: 	0.7576 	AUPRC: 	0.1786
Task SR-MMP AUROC: 	0.8104 	AUPRC: 	0.4764
Task SR-p53 AUROC: 	0.8179 	AUPRC: 	0.3397
Task SR-HSE AUROC: 	0.6995 	AUPRC: 	0.1199
Task SR-MMP AUROC: 	0.8094 	AUPRC: 	0.4837
Task SR-p53 AUROC: 	0.8287 	AUPRC: 	0.3737
Task SR-HSE AUROC: 	0.7639 	AUPRC: 	0.196
Task SR-MMP AUROC: 	0.8122 	AUPRC: 	0.5156
Task SR-p53 AUROC: 	0.8323 	AUPRC: 	0.3968
Task SR-HSE AUROC: 	0.7684 	AUPRC: 	0.2295
Task SR-MMP AUROC: 	0.7992 	AUPRC: 	0.4768
Task SR-p53 AUROC: 	0.8344 	AUPRC: 	0.3402
Task SR-HSE AUROC: 	0.7484 	AUPRC: 	0.1952
Task SR-MMP AUROC: 	0.822 	AUPRC: 	0.5132
Task SR-p53 AUROC: 	0.8269 	AUPRC: 	0.3901
Task SR-HSE AUROC: 	0.7475 	AUPRC: 	0.187
Task SR-MMP AUROC: 	0.6317 	AUPRC: 	0.3383
Task SR-p53 AUROC: 	0.8176 	AUPRC: 	0.3798

-----------------------------------------------------------------
Task                                            Acc         F1      AUROC      AUPRC  (mean±std)
-----------------------------------------------------------------
SR-HSE                                   0.7665±0.0736  0.2323±0.0270  0.7512±0.0432  0.2037±0.0354
SR-MMP                                   0.7859±0.0366  0.4947±0.0330  0.7994±0.0325  0.4784±0.0494
SR-p53                                   0.8059±0.0560  0.3033±0.0355  0.8190±0.0245  0.3355±0.0478

OVERALL AVERAGE                          0.7861              0.3434              0.7899              0.3392
-----------------------------------------------------------------
